# Source: DsRegistroVeriFactu.xlsx :: sheet '2)D. Registro Facturación Alta'
BLOQUE	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DATOS/ AGRUPACIÓN	DESCRIPCIÓN	FORMATO / (LONGITUD) / LISTA
			TipoImpositivo		Porcentaje aplicado sobre la base imponible para calcular la cuota.	Decimal (3,2) 
			BaseImponibleOimporteNoSujeto1		Magnitud dineraria sobre la que se aplica el tipo impositivo / Importe no sujeto.	Decimal (12,2) 
			BaseImponibleACoste		Magnitud dineraria sobre la que se aplica el tipo impositivo en régimen especial de grupos nivel avanzado.	Decimal (12,2) 
			CuotaRepercutida		Cuota resultante de aplicar a la base imponible el tipo impositivo.	Decimal (12,2) 
			TipoRecargoEquivalencia		Porcentaje asociado en función del impuesto y tipo impositivo	Decimal (3,2) 
			CuotaRecargoEquivalencia		Cuota resultante de aplicar a la base imponible el tipo de recargo de equivalencia.	Decimal (12,2) 
	CuotaTotal1				Importe total de la cuota (sumatorio de la Cuota Repercutida y Cuota de Recargo de Equivalencia). 	Decimal (12,2) 
	ImporteTotal1				Importe total de la factura. Se detallará la forma de calcularlo en la documentación correspondiente en la sede electrónica de la AEAT (documento de validaciones...).	Decimal (12,2) 
	Encadenamiento1	PrimerRegistro1			Indicador que especifica que no existe registro de facturación anterior en este sistema informático por tratarse del primer registro de facturación generado en él. En este caso, se informará con el valor "S". Si no se informa este campo se entenderá que no es el primer registro de facturación, en cuyo caso es obligatorio informar los campos de que consta «RegistroAnterior».	Alfanumérico (1)
		RegistroAnterior1	IDEmisorFactura1		NIF del obligado a expedir la factura a que se refiere el registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático. Este campo forma parte del detalle de las circunstancias de generación de los registros de facturación, ya que es necesario para completar la identificación de la factura contenida en el registro de facturación anterior a encadenar en casos excepcionales y puntuales en los que no coincida con el actual, como al cambiar en un momento dado el NIF tras fusiones, absorciones, etc.	FormatoNIF (9) 
			NumSerieFactura1		Nº Serie+Nº Factura que identifica a la factura a que se refiere el registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático.	Alfanumérico (60) 
			FechaExpedicionFactura1		Fecha de expedición de la factura a que se refiere el registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático.	Fecha (dd-mm-yyyy) 
			Huella1		Primeros 64 caracteres de la huella o «hash» del registro de facturación anterior (sea de alta o de anulación) generado en este sistema informático.	Alfanumérico (64) 
	SistemaInformatico1				Datos del sistema informático de facturación utilizado. Ver su diseño de bloque: «SistemaInformatico».
	FechaHoraHusoGenRegistro1				Fecha, hora y huso horario de generación del registro de facturación. El huso horario es el que está usando el sistema informático de facturación en el momento de generación del registro de facturación.	DateTime. Formato: YYYY-MM-DDThh:mm:ssTZD (ej: 2024-01-01T19:20:30+01:00) (ISO 8601)
	NumRegistroAcuerdoFacturacion				Número de registro obtenido al enviar la autorización en materia de facturación o de libros registro a que se refiere la disposición adicional primera del Real Decreto que aprueba el Reglamento. Este campo forma parte del detalle de las circunstancias de generación del registro de facturación.	Alfanumérico (15) 
	IdAcuerdoSistemaInformatico				Identificación del acuerdo (resolución) a que se refiere el artículo 5 del Reglamento. Este campo forma parte del detalle de las circunstancias de generación del registro de facturación.	Alfanumérico (16) 
	TipoHuella1				Tipo de algoritmo aplicado a cierto contenido del registro de facturación para obtener la huella o «hash».	Alfanumérico (2) L12
	Huella1				Huella o «hash» de cierto contenido de este registro de facturación. Dicho contenido se detallará en la documentación correspondiente en la sede electrónica de la AEAT (documento de huella...).	Alfanumérico (64) 
	Signature				Firma electrónica del registro de facturación en formato Xades Enveloped	Ver formato del "schema", en http://www.w3.org/2000/09/xmldsig#
					Namespace=http://www.w3.org/2000/09/xmldsig#.
					Obligatorio para conservación y para requerimiento, pero no para remisión voluntaria («VERI*FACTU»).
